node_id||type||coordinate||incoming_edge_id||outgoing_edge_id
1228990855||right_before_left||(5113.69, 3951.77)||-106877222#2 106877221 106877222#1 ||-106877215 -106877222#1 106877222#2 
1228990862||priority||(5120.62, 3969.68)||-106877215 106877222#2 ||-106877222#2 106877221 
1228990844||right_before_left||(5183.23, 3925.77)||-106877218#2 -106877219#0 -106877223#0 106877218#1 ||-106877217#0 -106877218#1 106877217#1 106877218#2 
1228990861||right_before_left||(5133.8, 3963.4)||-106877217#0 -106877223#1 106877219#1 ||-106877219#1 -106877223#0 106877223#1 
5174909936||priority||(5178.65, 3913.15)||-106877218#1 106877218#0 533399374#0 ||-106877218#0 106877218#1 533399374#1 
42429811||right_before_left||(5174.16, 3900.8)||-106877218#0 5669860#1 5673427#1 ||106877218#0 5669860#2 
1228990853||right_before_left||(5189.04, 3941.78)||-106877219#1 106877217#1 106877218#2 ||-106877218#2 -106877219#0 106877219#1 
5174909928||priority||(5109.26, 3940.3)||-106877222#1 106877222#0 533399374#1 ||-106877222#0 106877222#1 533399374#2 
42429809||priority||(5101.95, 3928.6)||-106877222#0 5669860#2 ||106877222#0 5669860#3 5671404#0 
2359921665||priority||(5164.78, 4043.8)||106877223#1 217991114#0 ||-106877223#1 217991114#1 
1272562686||right_before_left||(3225.16, 3401.88)||-111768307#1 -111768308#0 111768307#0 ||-111768307#0 111768307#1 111768308#0 
1272562922||priority||(3237.93, 3367.1)||-111768307#0 32922945 ||111768307#0 439842773 
1272562861||traffic_light||(3236.84, 3429.7)||109330331#3 111768306 111768307#1 533472709 ||-111768307#1 356140743#0 
cluster_1272562715_370705004||traffic_light||(3206.6, 3406.3)||111768308#0 226040990#3 356140737#1 ||-111768308#0 111768306 439842766 452285301 507432922 5669636 
cluster_3212472641_3212472805||priority||(4291.73, 3833.86)||-111826112#2 111826112#0 569451556#1 620640656#1 ||-111826112#0 111826112#2 569451556#2 620640656#2 
cluster_3212472963_5863593965||traffic_light||(4280.53, 3834.84)||-111826112#0 46139048#8 5671341#2 568305336#7 620640664#0 ||111826112#0 569451558#1 620640664#1 
cluster_42437965_5863593968_5863596401||traffic_light||(4301.81, 3827.91)||111826112#2 569451557#0 620640652#0 620640664#3 ||-111826112#2 111826111#1 569451557#2 620640652#1 620640664#4 
2823833538||priority||(3168.09, 7342.82)||-116672333#2 116672333#1 277945797#1 ||-116672333#1 116672333#2 
